draw_date,draw_no,n1,n2,n3,n4,n5,source
2008-10-01,97000197.0,13,15,23,25,34,pilio
2008-10-02,97000198.0,3,4,12,19,35,pilio
2008-10-03,97000199.0,7,21,23,27,36,pilio
2008-10-06,97000200.0,5,12,16,24,32,pilio
2008-10-07,97000201.0,10,18,19,23,30,pilio
2008-10-08,97000202.0,2,15,32,34,37,pilio
2008-10-09,97000203.0,1,4,19,20,37,pilio
2008-10-10,97000204.0,1,6,8,25,36,pilio
2008-10-13,97000205.0,6,10,11,13,14,pilio
2008-10-14,97000206.0,2,14,15,35,38,pilio
2008-10-15,97000207.0,3,4,8,23,26,pilio
2008-10-16,97000208.0,10,14,23,32,38,pilio
2008-10-17,97000209.0,3,4,6,30,38,pilio
2008-10-20,97000210.0,3,4,5,24,31,pilio
2008-10-21,97000211.0,8,14,21,25,28,pilio
2008-10-22,97000212.0,9,11,16,21,33,pilio
2008-10-23,97000213.0,8,34,36,37,39,pilio
2008-10-24,97000214.0,5,21,24,32,38,pilio
2008-10-27,97000215.0,3,18,31,32,33,pilio
2008-10-28,97000216.0,3,4,15,28,38,pilio
2008-10-29,97000217.0,17,18,19,26,30,pilio
2008-10-30,97000218.0,5,9,17,26,32,pilio
2008-10-31,97000219.0,5,29,31,35,38,pilio
2008-11-03,97000220.0,11,23,27,33,36,pilio
2008-11-04,97000221.0,5,9,10,15,25,pilio
2008-11-05,97000222.0,1,24,31,34,37,pilio
2008-11-06,97000223.0,1,8,12,13,35,pilio
2008-11-07,97000224.0,3,5,7,22,28,pilio
2008-11-10,97000225.0,4,19,26,30,31,pilio
2008-11-11,97000226.0,8,23,32,33,39,pilio
2008-11-12,97000227.0,5,11,24,28,31,pilio
2008-11-13,97000228.0,8,23,25,26,34,pilio
2008-11-14,97000229.0,4,5,12,13,29,pilio
2008-11-17,97000230.0,17,19,30,31,36,pilio
2008-11-18,97000231.0,7,8,18,22,24,pilio
2008-11-19,97000232.0,29,30,31,33,34,pilio
2008-11-20,97000233.0,2,21,28,38,39,pilio
2008-11-21,97000234.0,5,10,14,23,27,pilio
2008-11-24,97000235.0,1,2,24,25,34,pilio
2008-11-25,97000236.0,5,12,15,18,29,pilio
2008-11-26,97000237.0,4,18,24,26,30,pilio
2008-11-27,97000238.0,8,14,21,28,36,pilio
2008-11-28,97000239.0,14,15,16,18,39,pilio
2008-12-01,97000240.0,5,7,10,19,36,pilio
2008-12-02,97000241.0,6,9,15,17,31,pilio
2008-12-03,97000242.0,8,9,19,28,32,pilio
2008-12-04,97000243.0,17,19,21,38,39,pilio
2008-12-05,97000244.0,5,7,31,36,38,pilio
2008-12-08,97000245.0,13,27,35,37,38,pilio
2008-12-09,97000246.0,2,26,28,31,35,pilio
2008-12-10,97000247.0,14,20,22,27,30,pilio
2008-12-11,97000248.0,1,4,10,14,17,pilio
2008-12-12,97000249.0,10,14,23,25,32,pilio
2008-12-15,97000250.0,2,5,33,36,39,pilio
2008-12-16,97000251.0,12,16,18,25,28,pilio
